Step,Entropy,Policy Loss,Value Loss,A2C Loss,Value Target,Value Prediction,Reward,Loss
1,0.017917594,-8.11E-07,0.602282226,0.584365487,,,,
2,0.017917577,-5.13E-05,0.419624031,0.401757717,,,,
3,0.017917573,-8.32E-06,0.564450026,0.546540797,,,,
4,0.017917527,-1.07E-05,1.326256394,1.308349609,,,,
5,0.017917447,-5.75E-05,0.764365077,0.746505141,,,,
6,0.017917421,-4.62E-05,0.49255234,0.474681079,,,,
7,0.017917428,7.11E-05,0.31470263,0.296714127,,,,
8,0.017917437,4.07E-05,0.49221918,0.474261016,,,,
1,0.017917378,-2.11E-06,0.049903382,0.031988122,,,,
2,0.017917281,3.13E-06,0.04151376,0.023593353,,,,
3,0.017917138,-0.000139343,0.03810646,0.020328665,,,,
4,0.017917035,0.000119093,0.039554827,0.021518698,,,,
5,0.017916862,0.000180674,0.066851445,0.04875391,,,,
6,0.017916646,-0.000162904,0.051462252,0.033708509,,,,
7,0.017916573,-0.000147949,0.054214347,0.036445726,,,,
8,0.017916633,7.99E-05,0.048650961,0.030654458,,,,
1,0.017916653,0.000186577,0.059816044,0.041712813,,,,
2,0.017916616,0.000129928,0.049604554,0.031558011,,,,
3,0.017916501,8.95E-05,0.043815952,0.025809988,,,,
4,0.017916333,0.000274094,0.047456834,0.029266408,,,,
5,0.017916044,0.000151828,0.035856243,0.017788371,,,,
6,0.017915674,0.000485894,0.039220158,0.020818591,,,,
7,0.017915171,-5.84E-05,0.044185817,0.026329022,,,,
8,0.017914589,9.16E-05,0.056337792,0.038331591,,,,
1,0.017914081,0.000591142,0.046776433,0.028271209,,,,
2,0.017913759,0.000522177,0.047648091,0.029212154,,,,
3,0.017913518,0.000925343,0.046716727,0.027877867,,,,
4,0.017913114,0.00066221,0.045544386,0.026969062,,,,
5,0.017912619,0.001264998,0.056981392,0.037803777,,,,
6,0.017911831,0.000958966,0.03827833,0.019407533,,,,
7,0.017910818,-0.001404403,0.038712401,0.022205986,,,,
8,0.017910017,-0.000330913,0.054167014,0.036587913,,,60.384617,0.028541938
1,0.01790919,1.64E-06,0.091560081,0.07364925,,,,
2,0.017907837,-8.44E-06,0.069389187,0.051489785,,,,
3,0.017905997,2.51E-05,0.076153375,0.058222279,,,,
4,0.017903581,0.000337059,0.083134986,0.064894348,,,,
5,0.0179005,0.000310436,0.072407462,0.054196525,,,,
6,0.017898882,3.78E-05,0.088482529,0.070545807,,,,
7,0.017898975,-0.000582492,0.075984746,0.058668263,,,,
8,0.017901031,0.000323309,0.067235008,0.049010664,,,,
1,0.017903481,0.000691474,0.080472365,0.061877415,,,,
2,0.017904902,-0.000212483,0.078441285,0.060748868,,,,
3,0.017905405,0.000202676,0.055847127,0.03773905,,,,
4,0.017905172,-0.000219665,0.102816686,0.085131176,,,,
5,0.017904319,0.000226865,0.085462511,0.067331329,,,,
6,0.017902352,0.000158454,0.071921349,0.053860541,,,,
7,0.017900132,0.000609846,0.084580675,0.066070698,,,,
8,0.017897069,-8.79E-05,0.051451132,0.033641919,,,,
1,0.017894652,-0.000150023,0.060356729,0.042612102,,,,
2,0.017893471,0.000758293,0.056408241,0.037756477,,,,
3,0.017893054,0.000736069,0.089422345,0.070793219,,,,
4,0.017893123,0.001941776,0.08953172,0.069696821,,,,
5,0.017892214,-0.000576566,0.068448983,0.051133338,,,,
6,0.017891269,-0.00048337,0.070334896,0.052926999,,,,
7,0.017890615,0.001418767,0.080655523,0.06134614,,,,
8,0.017889095,-0.001078523,0.080765717,0.063955143,,,129.35898,0.05627753
1,0.017888013,4.84E-08,0.095123887,0.077235833,,,,
2,0.017885843,-6.51E-05,0.061161507,0.043340765,,,,
3,0.017882479,6.74E-05,0.050540768,0.032590903,,,,
4,0.017878175,9.99E-05,0.057045151,0.039067067,,,,
5,0.017873073,0.000480047,0.053221457,0.034868337,,,,
6,0.017869152,-2.10E-06,0.081203833,0.063336775,,,,
7,0.017867783,-0.00067503,0.064192377,0.046999626,,,,
8,0.017870603,-0.000188844,0.053277589,0.035595827,,,,
1,0.017875366,0.000613884,0.068199255,0.049710006,,,,
2,0.017878396,-0.000311585,0.048907299,0.031340487,,,,
3,0.01788109,0.000511717,0.053196736,0.034803931,,,,
4,0.017881859,0.000143212,0.057084337,0.039059266,,,,
5,0.017881788,-0.000306808,0.068422079,0.050847098,,,,
6,0.017880723,0.001019973,0.056854624,0.037953928,,,,
7,0.017877663,4.72E-05,0.05615437,0.038229477,,,,
8,0.017873855,-0.000851933,0.089089014,0.072067097,,,,
1,0.017870327,-6.06E-05,0.073658109,0.055848353,,,,
2,0.017867494,0.000930816,0.064000875,0.045202564,,,,
3,0.017866006,9.67E-05,0.059459977,0.041497234,,,,
4,0.017866593,0.001963238,0.054487009,0.034657177,,,,
5,0.01786566,1.91E-05,0.080208972,0.062324222,,,,
6,0.017864401,0.000995514,0.040466942,0.021607028,,,,
7,0.017862497,-0.000378499,0.050272454,0.032788455,,,,
8,0.017860554,0.001268447,0.068427525,0.049298525,,,181.81818,0.042902945
1,0.017858598,-1.76E-05,0.032180686,0.014339671,,,,
2,0.017855035,-4.45E-05,0.047363982,0.029553495,,,,
3,0.017851228,-8.37E-05,0.048451539,0.03068402,,,,
4,0.017845633,4.77E-05,0.04596195,0.028068667,,,,
5,0.017839227,0.000490242,0.027038194,0.008708725,,,,
6,0.017830603,0.000159484,0.034961276,0.01697119,,,,
7,0.017824851,0.000199058,0.032569535,0.014545626,,,,
8,0.017822644,-0.000179332,0.039260436,0.021617124,,,,
1,0.017824436,-0.000252902,0.044856817,0.027285283,,,,
2,0.017825829,0.000588667,0.037756588,0.019342093,,,,
3,0.017825766,0.000219004,0.03357622,0.015531451,,,,
4,0.017824728,-0.000765738,0.028674245,0.011615254,,,,
5,0.017824957,0.001038577,0.031817734,0.0129542,,,,
6,0.017822074,-0.000648462,0.029805942,0.01263233,,,,
7,0.017819239,-0.001034741,0.046243805,0.029459307,,,,
8,0.017817551,0.001034526,0.03808713,0.019235052,,,,
1,0.017812543,0.000455557,0.043742195,0.025474096,,,,
2,0.017806057,0.000484758,0.039557327,0.021266511,,,,
3,0.017798318,0.000687267,0.035937596,0.017452011,,,,
4,0.017790936,0.002554988,0.033046916,0.012700993,,,,
