Step,Entropy,Policy Loss,Value Loss,A2C Loss,Value Target,Value Prediction,Reward,Loss
1,0.0895879790186882,-2.384185791015625e-07,0.9863571524620056,0.8967694044113159,,,,
2,0.08958791196346283,3.1007661164039746e-05,0.5768497586250305,0.4872308373451233,,,,
3,0.08958758413791656,0.00012763340782839805,0.5597624778747559,0.470047265291214,,,,
4,0.08958687633275986,0.00015968084335327148,0.6802637577056885,0.5905172228813171,,,,
5,0.08958636969327927,5.36044426553417e-05,0.9349547624588013,0.8453148007392883,,,,
6,0.08958663791418076,-4.667706161853857e-05,0.5142582654953003,0.42471829056739807,,,,
7,0.08958547562360764,0.0001791450777091086,0.5833134651184082,0.49354884028434753,,,,
8,0.0895848274230957,-0.0001942846574820578,0.44103607535362244,0.3516455292701721,,,,
1,0.08958499133586884,-1.092751858777774e-06,0.062474384903907776,-0.02710951305925846,,,,
2,0.089584119617939,2.4853481590980664e-05,0.0758524015545845,-0.01375657133758068,,,,
3,0.08958223462104797,-5.3334981203079224e-05,0.06978348642587662,-0.019745413213968277,,,,
4,0.08957943320274353,-1.8690609522309387e-06,0.0829179435968399,-0.006659620441496372,,,,
5,0.08957549184560776,0.0005246769287623465,0.049854014068841934,-0.040246155112981796,,,,
6,0.08957216888666153,0.00027444626903161407,0.07649675756692886,-0.013349857181310654,,,,
7,0.08957083523273468,-0.0003002277808263898,0.05649774149060249,-0.032772865146398544,,,,
8,0.08957188576459885,-0.0001523718237876892,0.06926243752241135,-0.02015707641839981,,,,
1,0.08957339823246002,-4.397663724375889e-05,0.05157734081149101,-0.037952080368995667,,,,
2,0.08957426995038986,-4.51207160949707e-05,0.079015351831913,-0.010513797402381897,,,,
3,0.08957432955503464,0.0004073853197041899,0.056957025080919266,-0.03302469104528427,,,,
4,0.08957339823246002,0.0005691929254680872,0.0990259125828743,0.008883321657776833,,,,
5,0.08957119286060333,-1.8234053641208448e-05,0.0804620087146759,-0.009090949781239033,,,,
6,0.0895681232213974,7.817563164280728e-05,0.04979266598820686,-0.03985363245010376,,,,
7,0.08956445008516312,0.00028621984529308975,0.05573292449116707,-0.034117747098207474,,,,
8,0.08956047147512436,0.0007624891004525125,0.04597718268632889,-0.04434577748179436,,,,
