Step,Entropy,Policy Loss,Value Loss,A2C Loss,Value Target,Value Prediction,Reward,Loss
1,-0.0004530595906544477,1.856684684753418e-05,9.130786895751953,9.131221771240234,,,,
2,-0.0003223110979888588,-0.00010458628094056621,6.057991981506348,6.0584187507629395,,,,
3,-0.0003745872527360916,1.3934241906099487e-05,7.924614906311035,7.924975872039795,,,,
4,-0.0005762107321061194,-0.00043855607509613037,2.345806837081909,2.3468215465545654,,,,
5,-0.0006594344740733504,-0.0001982847898034379,3.5586464405059814,3.559504270553589,,,,
6,-0.0007147452561184764,-0.00029438402270898223,5.514662265777588,5.515671253204346,,,,
7,-0.0007539634825661778,-0.00039736100006848574,5.949435710906982,5.950586795806885,,,,
8,-0.0007909919950179756,-3.606081008911133e-05,2.671844959259033,2.6726720333099365,,,,
1,-0.0005897412193007767,-9.160074796454865e-07,0.8622314929962158,0.8628221154212952,,,,
2,-0.0003891404194291681,-0.0001330276281805709,0.7848764061927795,0.7853986024856567,,,,
3,-0.00014949355681892484,-0.00014361987996380776,0.8923543095588684,0.8926474452018738,,,,
4,0.00011373691813787445,-0.00011962652206420898,0.8433948159217834,0.8434007167816162,,,,
5,0.00041632491047494113,-0.0003925032215192914,0.8814300894737244,0.8814062476158142,,,,
6,0.0009803569409996271,-4.783107215189375e-05,0.8049017786979675,0.8039692044258118,,,,
7,0.0017642804887145758,-0.000324464519508183,0.8386276364326477,0.8371878266334534,,,,
8,0.002711693989112973,-0.00022211340547073632,0.8348515629768372,0.8323619365692139,,,6.6666665,0.8423992618918419
1,0.0037175817415118217,-1.1889471352333203e-05,0.9033836722373962,0.8996779322624207,,,,
2,0.004749617073684931,-5.2077073632972315e-05,0.8507526516914368,0.8460551500320435,,,,
3,0.0058105820789933205,-0.00010059773921966553,0.8898522257804871,0.884142279624939,,,,
4,0.006920978892594576,-5.8839719713432714e-05,0.8164451718330383,0.8095830082893372,,,,
5,0.008098012767732143,-0.00010846886289073154,0.8076732158660889,0.799683690071106,,,,
6,0.009361844509840012,0.00023507741570938379,0.7637965679168701,0.7541996240615845,,,,
7,0.010709677822887897,-9.388559556100518e-05,0.8028393387794495,0.7922235131263733,,,,
8,0.012066289782524109,-0.00029093027114868164,0.7633185982704163,0.7515432238578796,,,49.090908,0.8171385526657104
1,0.013287529349327087,-2.2577329218620434e-05,0.7963833808898926,0.7831184267997742,,,,
2,0.01468241773545742,-0.00013339023280423135,0.7866426706314087,0.772093653678894,,,,
3,0.016121169552206993,-9.322580444859341e-05,0.8137325644493103,0.7977046370506287,,,,
4,0.017613930627703667,-0.00023139019322115928,0.7583363056182861,0.7409537434577942,,,,
5,0.019177589565515518,8.90253359102644e-05,0.7687644958496094,0.7494978308677673,,,,
6,0.020811013877391815,0.00037617236375808716,0.6800908446311951,0.6589036583900452,,,,
7,0.022399552166461945,8.00001944298856e-05,0.6826618313789368,0.6601822972297668,,,,
8,0.02389487437903881,-0.0005267568631097674,0.7400544285774231,0.7166863679885864,,,101.333336,0.7348925769329071
1,0.025146273896098137,-2.73527366516646e-05,0.8068593144416809,0.7817404270172119,,,,
2,0.026645906269550323,-2.5969413854909362e-06,0.7394057512283325,0.7127624750137329,,,,
3,0.02818402647972107,-5.257709199213423e-05,0.7579996585845947,0.7298681735992432,,,,
4,0.02977464534342289,-3.444817411946133e-05,0.7206686735153198,0.6909284591674805,,,,
5,0.031416479498147964,-0.00021419260883703828,0.6864116787910461,0.6552094221115112,,,,
6,0.03289566934108734,-0.0005624840850941837,0.7282049059867859,0.6958717107772827,,,,
7,0.0341925211250782,0.00047941008233465254,0.6663090586662292,0.6316371560096741,,,,
8,0.03532150760293007,0.0005012191832065582,0.7004554867744446,0.6646327376365662,,,82.666664,0.6953313201665878
1,0.03614736720919609,-1.4417287275136914e-05,0.9547985792160034,0.9186656475067139,,,,
2,0.03726664558053017,-7.804980123182759e-05,0.8571237921714783,0.819935142993927,,,,
